Entry_Date,Entry_Time,Exit_Date,Exit_Time,Underlying_Symbol,Strategy_Direction,Underlying_Entry_Price,Underlying_Exit_Price,Option_Symbol,Option_Strike,Option_Type,Option_Entry_Price,Option_Exit_Price,Entry_Fair_Value,Exit_Fair_Value,Entry_Limit_Price,Exit_Limit_Price,Entry_Spread_Pct,Exit_Spread_Pct,Entry_Quote_Source,Exit_Quote_Source,Entry_Pricing_Mode,Exit_Pricing_Mode,Entry_Repriced,Exit_Repriced,Entry_Slippage_vs_Fair,Exit_Slippage_vs_Fair,Qty,PnL,Trade_ID
2026-04-07,14:20:40,2026-04-07,14:20:49,NIFTY,SELL,22993.7,22995.05,NIFTY07APR2623000PE,23000.0,PE,41.55,43.1,45.0,40.0,45.0,40.0,0.00241,0.002317,ws,ws,book_ladder,book_ladder,False,False,-3.45,3.1,65,100.75,strategy_S9-149:NIFTY:2026-04-07T14:20:40:SHORT
2026-04-07,14:21:20,2026-04-07,14:21:25,NIFTY,BUY,23000.45,22998.1,NIFTY07APR2623000CE,23000.0,CE,40.15,38.95,45.0,35.0,45.0,35.0,0.002494,0.003844,ws,ws,book_ladder,book_ladder,False,False,-4.85,3.95,65,-78.0,strategy_S9-149:NIFTY:2026-04-07T14:21:20:LONG
2026-04-07,14:21:35,2026-04-07,14:21:56,NIFTY,BUY,23001.95,23002.85,NIFTY07APR2623000CE,23000.0,CE,41.0,41.15,45.0,40.0,45.0,40.0,0.002442,0.003639,ws,ws,book_ladder,book_ladder,False,False,-4.0,1.15,65,9.75,strategy_S9-149:NIFTY:2026-04-07T14:21:35:LONG
2026-04-07,14:22:31,2026-04-07,14:22:37,NIFTY,BUY,23008.25,23006.35,NIFTY07APR2623000CE,23000.0,CE,43.1,41.75,45.0,40.0,45.0,40.0,0.002323,0.002392,ws,ws,book_ladder,book_ladder,False,False,-1.9,1.75,65,-87.75,strategy_S9-149:NIFTY:2026-04-07T14:22:31:LONG
2026-04-07,14:23:00,2026-04-07,14:23:08,NIFTY,BUY,23010.1,23008.3,NIFTY07APR2623000CE,23000.0,CE,46.7,45.0,50.0,45.0,50.0,45.0,0.003217,0.00222,ws,ws,book_ladder,book_ladder,False,False,-3.3,0.0,65,-110.5,strategy_S9-149:NIFTY:2026-04-07T14:23:00:LONG
2026-04-07,14:23:46,2026-04-07,14:24:00,NIFTY,SELL,23006.2,22990.55,NIFTY07APR2623050PE,23050.0,PE,63.75,76.65,65.0,75.0,65.0,75.0,0.002356,0.002606,ws,ws,book_ladder,book_ladder,False,False,-1.25,1.65,65,838.5,strategy_S9-149:NIFTY:2026-04-07T14:23:46:SHORT
2026-04-07,14:24:43,2026-04-07,14:25:10,NIFTY,BUY,22997.4,23005.1,NIFTY07APR2622950CE,22950.0,CE,65.5,75.1,70.0,75.0,70.0,75.0,0.003824,0.00266,ws,ws,book_ladder,book_ladder,False,False,-4.5,0.1,65,624.0,strategy_S9-149:NIFTY:2026-04-07T14:24:43:LONG
2026-04-07,14:25:24,2026-04-07,14:25:28,NIFTY,BUY,23011.15,23008.5,NIFTY07APR2623000CE,23000.0,CE,43.55,42.35,45.0,40.0,45.0,40.0,0.00345,0.002358,ws,ws,book_ladder,book_ladder,False,False,-1.45,2.35,65,-78.0,strategy_S9-149:NIFTY:2026-04-07T14:25:24:LONG
2026-04-07,14:25:40,2026-04-07,14:26:00,NIFTY,SELL,23003.6,23003.55,NIFTY07APR2623050PE,23050.0,PE,66.3,66.9,70.0,65.0,70.0,65.0,0.002265,0.00224,ws,ws,book_ladder,book_ladder,False,False,-3.7,1.9,65,39.0,strategy_S9-149:NIFTY:2026-04-07T14:25:40:SHORT
2026-04-07,14:26:32,2026-04-07,14:26:56,NIFTY,BUY,23011.8,23010.6,NIFTY07APR2623000CE,23000.0,CE,44.8,44.6,45.0,40.0,45.0,40.0,0.002235,0.003358,ws,ws,book_ladder,book_ladder,False,False,-0.2,4.6,65,-13.0,strategy_S9-149:NIFTY:2026-04-07T14:26:32:LONG
